"time";"open";"high";"low";"close";"volume";"timestr"
"1772754000000";"24979,0";"24982,5";"24969,5";"24977,6";"1013";"2026-03-06 00:40:00"
"1772754300000";"24977,5";"24979,2";"24966,7";"24975,0";"1055";"2026-03-06 00:45:00"
"1772754600000";"24975,1";"24987,2";"24973,5";"24976,4";"1009";"2026-03-06 00:50:00"
"1772754900000";"24976,5";"24987,5";"24969,9";"24977,1";"720";"2026-03-06 00:55:00"
"1772758800000";"24985,9";"24997,6";"24967,0";"24993,9";"892";"2026-03-06 02:00:00"
"1772759100000";"24993,9";"25005,3";"24986,9";"24999,5";"725";"2026-03-06 02:05:00"
"1772759400000";"25000,3";"25010,6";"24996,0";"25002,4";"725";"2026-03-06 02:10:00"
"1772759700000";"25002,3";"25006,9";"24995,9";"25004,3";"568";"2026-03-06 02:15:00"
"1772760000000";"25005,0";"25008,1";"25001,0";"25002,9";"521";"2026-03-06 02:20:00"
"1772760300000";"25002,9";"25019,6";"24993,1";"25012,6";"861";"2026-03-06 02:25:00"
"1772760600000";"25012,4";"25015,6";"25004,9";"25006,4";"880";"2026-03-06 02:30:00"
"1772760900000";"25006,6";"25015,6";"25003,3";"25015,0";"733";"2026-03-06 02:35:00"
"1772761200000";"25014,6";"25034,5";"25014,6";"25026,9";"1007";"2026-03-06 02:40:00"
"1772761500000";"25026,9";"25035,6";"25019,6";"25019,9";"1289";"2026-03-06 02:45:00"
"1772761800000";"25019,6";"25037,3";"25014,9";"25028,3";"1054";"2026-03-06 02:50:00"
"1772762100000";"25028,0";"25038,1";"25026,1";"25028,8";"1064";"2026-03-06 02:55:00"
"1772762400000";"25028,9";"25048,5";"25028,0";"25044,6";"1867";"2026-03-06 03:00:00"
"1772762700000";"25044,8";"25060,6";"25042,8";"25055,5";"1703";"2026-03-06 03:05:00"
"1772763000000";"25055,3";"25065,9";"25055,3";"25061,4";"1438";"2026-03-06 03:10:00"
"1772763300000";"25060,9";"25063,1";"25048,3";"25051,3";"1673";"2026-03-06 03:15:00"
"1772763600000";"25051,1";"25056,3";"25044,0";"25045,3";"1506";"2026-03-06 03:20:00"
"1772763900000";"25046,0";"25051,4";"25034,9";"25041,4";"1600";"2026-03-06 03:25:00"
"1772764200000";"25041,6";"25048,0";"25036,3";"25044,0";"1630";"2026-03-06 03:30:00"
"1772764500000";"25045,0";"25053,1";"25040,5";"25042,1";"1584";"2026-03-06 03:35:00"
"1772764800000";"25042,4";"25054,5";"25040,6";"25052,9";"1433";"2026-03-06 03:40:00"
"1772765100000";"25052,6";"25061,1";"25050,4";"25056,3";"1590";"2026-03-06 03:45:00"
"1772765400000";"25056,0";"25057,1";"25037,0";"25041,8";"1692";"2026-03-06 03:50:00"
"1772765700000";"25041,9";"25046,6";"25035,5";"25042,9";"1636";"2026-03-06 03:55:00"
"1772766000000";"25042,4";"25054,3";"25037,0";"25049,3";"2023";"2026-03-06 04:00:00"
"1772766300000";"25048,9";"25059,0";"25035,4";"25041,6";"2028";"2026-03-06 04:05:00"
"1772766600000";"25041,6";"25053,9";"25039,9";"25044,4";"1830";"2026-03-06 04:10:00"
"1772766900000";"25044,8";"25059,6";"25043,1";"25043,4";"2003";"2026-03-06 04:15:00"
"1772767200000";"25044,0";"25047,3";"25024,5";"25030,1";"2043";"2026-03-06 04:20:00"
"1772767500000";"25032,0";"25033,1";"25006,9";"25021,3";"2201";"2026-03-06 04:25:00"
"1772767800000";"25022,5";"25044,6";"25019,0";"25044,6";"2393";"2026-03-06 04:30:00"
"1772768100000";"25045,1";"25057,1";"25031,4";"25031,4";"2201";"2026-03-06 04:35:00"
"1772768400000";"25031,6";"25043,3";"25024,0";"25024,0";"2137";"2026-03-06 04:40:00"
"1772768700000";"25024,1";"25028,8";"25010,0";"25028,5";"2147";"2026-03-06 04:45:00"
"1772769000000";"25028,6";"25037,9";"25022,9";"25032,6";"2014";"2026-03-06 04:50:00"
"1772769300000";"25031,9";"25052,6";"25031,5";"25035,4";"1964";"2026-03-06 04:55:00"
"1772769600000";"25038,1";"25050,9";"25029,1";"25045,1";"2044";"2026-03-06 05:00:00"
"1772769900000";"25044,9";"25053,1";"25040,5";"25044,4";"1752";"2026-03-06 05:05:00"
"1772770200000";"25044,9";"25071,9";"25043,6";"25071,6";"1782";"2026-03-06 05:10:00"
"1772770500000";"25071,3";"25083,1";"25064,5";"25072,5";"1919";"2026-03-06 05:15:00"
"1772770800000";"25072,5";"25084,6";"25071,4";"25074,9";"1918";"2026-03-06 05:20:00"
"1772771100000";"25074,5";"25081,5";"25071,9";"25078,3";"1697";"2026-03-06 05:25:00"
"1772771400000";"25077,8";"25080,8";"25063,8";"25065,1";"1836";"2026-03-06 05:30:00"
"1772771700000";"25064,4";"25067,0";"25055,9";"25058,9";"1827";"2026-03-06 05:35:00"
"1772772000000";"25058,5";"25063,5";"25054,0";"25060,9";"1657";"2026-03-06 05:40:00"
"1772772300000";"25061,1";"25065,4";"25053,6";"25061,4";"1569";"2026-03-06 05:45:00"
"1772772600000";"25060,0";"25062,3";"25037,5";"25039,6";"1630";"2026-03-06 05:50:00"
"1772772900000";"25040,3";"25047,5";"25038,4";"25038,4";"1605";"2026-03-06 05:55:00"
"1772773200000";"25038,5";"25067,3";"25038,5";"25066,9";"1696";"2026-03-06 06:00:00"
"1772773500000";"25067,1";"25067,9";"25058,5";"25058,9";"1574";"2026-03-06 06:05:00"
"1772773800000";"25058,9";"25064,3";"25051,6";"25053,5";"1464";"2026-03-06 06:10:00"
"1772774100000";"25053,8";"25054,9";"25045,3";"25053,1";"1621";"2026-03-06 06:15:00"
"1772774400000";"25052,9";"25063,8";"25049,4";"25057,6";"1635";"2026-03-06 06:20:00"
"1772774700000";"25057,6";"25060,3";"25049,5";"25052,6";"1521";"2026-03-06 06:25:00"
"1772775000000";"25052,8";"25058,4";"25044,8";"25046,9";"1697";"2026-03-06 06:30:00"
"1772775300000";"25047,1";"25058,0";"25043,0";"25057,3";"1576";"2026-03-06 06:35:00"
"1772775600000";"25056,9";"25070,9";"25056,9";"25066,5";"1470";"2026-03-06 06:40:00"
"1772775900000";"25066,9";"25071,8";"25065,6";"25068,0";"1342";"2026-03-06 06:45:00"
"1772776200000";"25067,9";"25071,8";"25062,9";"25066,8";"1185";"2026-03-06 06:50:00"
"1772776500000";"25066,5";"25083,4";"25066,1";"25082,1";"1104";"2026-03-06 06:55:00"
"1772776800000";"25082,3";"25083,8";"25075,8";"25078,8";"1209";"2026-03-06 07:00:00"
"1772777100000";"25078,5";"25080,9";"25073,0";"25080,0";"1033";"2026-03-06 07:05:00"
"1772777400000";"25079,5";"25081,5";"25072,5";"25074,0";"1001";"2026-03-06 07:10:00"
"1772777700000";"25073,9";"25077,8";"25071,8";"25074,3";"910";"2026-03-06 07:15:00"
"1772778000000";"25074,5";"25076,8";"25067,4";"25069,9";"1122";"2026-03-06 07:20:00"
"1772778300000";"25069,6";"25070,6";"25062,5";"25065,8";"1062";"2026-03-06 07:25:00"
"1772778600000";"25065,3";"25089,6";"25064,3";"25087,3";"1086";"2026-03-06 07:30:00"
"1772778900000";"25087,5";"25089,6";"25084,3";"25085,8";"1000";"2026-03-06 07:35:00"
"1772779200000";"25085,8";"25106,1";"25085,5";"25095,5";"1131";"2026-03-06 07:40:00"
"1772779500000";"25095,3";"25103,9";"25095,3";"25101,5";"1033";"2026-03-06 07:45:00"
"1772779800000";"25101,8";"25102,9";"25088,3";"25088,5";"895";"2026-03-06 07:50:00"
"1772780100000";"25088,4";"25089,3";"25074,1";"25077,6";"1087";"2026-03-06 07:55:00"
"1772780400000";"25077,8";"25083,8";"25075,0";"25081,1";"1605";"2026-03-06 08:00:00"
"1772780700000";"25081,1";"25092,8";"25080,3";"25091,9";"1504";"2026-03-06 08:05:00"
"1772781000000";"25092,1";"25098,6";"25091,1";"25095,6";"1311";"2026-03-06 08:10:00"
"1772781300000";"25095,8";"25096,5";"25091,0";"25095,4";"1202";"2026-03-06 08:15:00"
"1772781600000";"25095,1";"25096,4";"25080,3";"25084,9";"1219";"2026-03-06 08:20:00"
"1772781900000";"25085,0";"25090,8";"25080,1";"25089,3";"1259";"2026-03-06 08:25:00"
"1772782200000";"25089,4";"25097,0";"25087,5";"25094,3";"1234";"2026-03-06 08:30:00"
"1772782500000";"25094,1";"25109,9";"25093,4";"25100,1";"1242";"2026-03-06 08:35:00"
"1772782800000";"25100,6";"25103,5";"25092,3";"25097,9";"1331";"2026-03-06 08:40:00"
"1772783100000";"25098,0";"25098,8";"25077,1";"25080,0";"1619";"2026-03-06 08:45:00"
"1772783400000";"25079,8";"25090,0";"25075,5";"25089,8";"1483";"2026-03-06 08:50:00"
"1772783700000";"25089,9";"25092,3";"25082,5";"25086,6";"1328";"2026-03-06 08:55:00"
"1772784000000";"25086,6";"25101,8";"25086,3";"25098,9";"1278";"2026-03-06 09:00:00"
"1772784300000";"25099,0";"25104,0";"25094,6";"25098,0";"1178";"2026-03-06 09:05:00"
"1772784600000";"25097,6";"25102,1";"25090,5";"25092,0";"1237";"2026-03-06 09:10:00"
"1772784900000";"25092,4";"25093,0";"25083,0";"25088,0";"1249";"2026-03-06 09:15:00"
"1772785200000";"25087,9";"25093,9";"25076,5";"25093,0";"1287";"2026-03-06 09:20:00"
"1772785500000";"25093,0";"25093,0";"25077,5";"25080,5";"1360";"2026-03-06 09:25:00"
"1772785800000";"25080,1";"25084,6";"25072,0";"25076,4";"1373";"2026-03-06 09:30:00"
"1772786100000";"25076,0";"25082,3";"25073,3";"25078,3";"1108";"2026-03-06 09:35:00"
