SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 19:06:11 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 20:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 19:11:16 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 20:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 19:16:22 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 20:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 19:21:27 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 20:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 19:26:32 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 20:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 19:31:37 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 20:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 00:22:15 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 01:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 00:45:07 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 01:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 00:50:12 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-14 01:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 00:55:16 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-14 01:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:00:21 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 01:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:05:26 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 02:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:10:30 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 02:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:15:35 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 02:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:20:40 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 02:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:25:44 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 02:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 01:30:49 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 02:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:26:40 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-14 03:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:31:45 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 03:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:36:49 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 03:30:00
