SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:57:23 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 17:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:02:28 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 17:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:07:38 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 18:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:10:11 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 18:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:15:15 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 18:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:16:46 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:21:52 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:26:59 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:32:04 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:37:11 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:42:19 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:45:12 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:50:18 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 10:55:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 13:51:01 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 14:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 13:56:07 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 14:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:01:12 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 14:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:06:19 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:11:26 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:16:33 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:21:47 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:26:51 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:31:56 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:37:00 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:42:05 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:47:09 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 14:52:14 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-15 15:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 15:55:50 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-15 16:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 16:46:42 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-15 17:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 16:51:54 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-15 17:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 16:56:59 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-15 17:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 17:02:06 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-15 17:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 17:07:11 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-15 18:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 17:12:16 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-15 18:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 17:45:23 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 18:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 17:50:29 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 18:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 17:55:35 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 18:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:00:41 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 18:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:05:45 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 19:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:10:50 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 19:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:15:55 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 19:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:21:01 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 19:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:26:06 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 19:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-15 18:31:10 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 19:25:00
