SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:42:23 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:47:28 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:50:00 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:55:04 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:00:09 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:05:18 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:10:24 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:15:29 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:10:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:20:33 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:15:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:25:38 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:20:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:30:42 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:35:46 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:40:51 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-14 10:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:45:56 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 09:51:00 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 10:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 16:57:25 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 17:02:30 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 17:05:08 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 17:10:12 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:05:00
